,n_layers,n_neurons,instance,method,status,time,objective,message
112,2,10,6,direct,error,1200.040598154068,,Optimization failed with status code 9
113,2,10,6,decomp,optimal,142.8735945224762,62.070311082926125,
114,2,10,7,direct,unbounded,14.403542757034302,,Problem is unbounded
115,2,10,7,decomp,optimal,114.90147185325623,162.22881577839541,
116,2,10,8,direct,error,1200.046290397644,,Optimization failed with status code 9
117,2,10,8,decomp,optimal,297.8709580898285,120.5467621577994,
118,2,10,9,direct,error,1200.0460877418518,,Optimization failed with status code 9
119,2,10,9,decomp,optimal,100.55974817276001,110.13953640350312,
120,2,15,0,direct,error,1200.196645975113,,Optimization failed with status code 9
121,2,15,0,decomp,error,1243.1022548675537,,Optimization failed with status code 9
122,2,15,1,direct,error,1200.0201532840729,,Optimization failed with status code 9
123,2,15,1,decomp,optimal,2328.3895659446716,131.4734470223521,
124,2,15,2,direct,error,1200.0661959648132,,Optimization failed with status code 9
125,2,15,2,decomp,optimal,908.1104612350464,118.16035807706491,
126,2,15,3,direct,error,1200.0339682102203,,Optimization failed with status code 9
127,2,15,3,decomp,optimal,111.60538601875305,106.99372577187734,
128,2,15,4,direct,error,1200.0364980697632,,Optimization failed with status code 9
129,2,15,4,decomp,optimal,11.815273523330688,141.34055196549946,
130,2,15,5,direct,error,1200.0491008758545,,Optimization failed with status code 9
131,2,15,5,decomp,optimal,449.70696926116943,124.02854754937137,
132,2,15,6,direct,error,1200.0328423976898,,Optimization failed with status code 9
133,2,15,6,decomp,optimal,193.78199100494385,232.55070677956766,
134,2,15,7,direct,error,1200.0202233791351,,Optimization failed with status code 9
135,2,15,7,decomp,optimal,579.9206387996674,51.572366870185945,
136,2,15,8,direct,error,1200.0415422916412,,Optimization failed with status code 9
137,2,15,8,decomp,optimal,874.3482146263123,104.14731036851194,
138,2,15,9,direct,error,1200.0110602378845,,Optimization failed with status code 9
139,2,15,9,decomp,optimal,1164.5065717697144,113.45645080052631,
140,2,20,0,direct,error,1200.036845445633,,Optimization failed with status code 9
141,2,20,0,decomp,optimal,9900.166332006454,118.64758468985593,
142,2,20,1,direct,error,1200.757028579712,,Optimization failed with status code 9
143,2,20,1,decomp,optimal,2338.737764120102,160.2872891596768,
144,2,20,2,direct,error,1200.0360667705536,,Optimization failed with status code 9
145,2,20,2,decomp,optimal,2504.71014046669,121.50203851071956,
146,2,20,3,direct,error,1200.0298619270325,,Optimization failed with status code 9
147,2,20,3,decomp,optimal,233.02773714065552,107.44048715354161,
148,2,20,4,direct,error,1200.018729686737,,Optimization failed with status code 9
149,2,20,4,decomp,optimal,4892.471974849701,96.8285907276677,
150,2,20,5,direct,error,1200.0945546627045,,Optimization failed with status code 9
151,2,20,5,decomp,optimal,4119.413583755493,181.83555587617798,
152,2,20,6,direct,error,1200.0547153949738,,Optimization failed with status code 9
153,2,20,6,decomp,optimal,804.7876400947571,112.73919438316815,
154,2,20,7,direct,error,1200.0444130897522,,Optimization failed with status code 9
155,2,20,7,decomp,error,1376.7262816429138,,Optimization failed with status code 9
156,2,20,8,direct,error,1200.7168967723846,,Optimization failed with status code 9
157,2,20,8,decomp,optimal,1559.4331336021423,120.19517701662366,
158,2,20,9,direct,error,1200.3269062042236,,Optimization failed with status code 9
159,2,20,9,decomp,optimal,8158.139108419418,107.8789552147959,
