,n_states,instance,method,status,time,objective,message
79,50,9,decomp,optimal,0.3250272274017334,43.113823344508226,
80,100,0,direct,optimal,2.5665159225463867,135.26817555588485,
81,100,0,decomp,optimal,0.9596781730651855,135.26817555588485,
82,100,1,direct,optimal,2.463287353515625,96.29152940484003,
83,100,1,decomp,optimal,0.9084899425506592,96.29152940483995,
84,100,2,direct,optimal,1.9582014083862305,142.11936312509715,
85,100,2,decomp,optimal,0.9379091262817383,142.11936312509675,
86,100,3,direct,optimal,2.8559510707855225,126.9786237625049,
87,100,3,decomp,optimal,0.9657871723175049,126.9786237625049,
88,100,4,direct,optimal,2.6018505096435547,135.59439077528032,
89,100,4,decomp,optimal,0.9412498474121094,135.59439077528012,
90,100,5,direct,optimal,2.5507149696350098,183.50043703658562,
91,100,5,decomp,optimal,0.9332234859466553,183.50043703658542,
92,100,6,direct,optimal,2.2801876068115234,109.08719639294534,
93,100,6,decomp,optimal,0.906982421875,109.08719639294533,
94,100,7,direct,optimal,2.0045785903930664,91.94548748095318,
95,100,7,decomp,optimal,1.0505867004394531,91.94548748095318,
96,100,8,direct,optimal,1.7934174537658691,74.76904015435424,
97,100,8,decomp,optimal,1.107698917388916,74.7690401543543,
98,100,9,direct,optimal,3.2813150882720947,206.71608876346124,
99,100,9,decomp,optimal,0.9191958904266357,206.71608876346124,
100,200,0,direct,suboptimal,11.036420822143555,136.246326998661,
101,200,0,decomp,optimal,3.941215991973877,136.24632699866078,
102,200,1,direct,optimal,10.045087575912476,142.66722027676715,
103,200,1,decomp,optimal,3.5756938457489014,142.66722027676713,
104,200,2,direct,optimal,17.39742946624756,63.77469338679907,
105,200,2,decomp,optimal,3.8419342041015625,63.77469338679897,
106,200,3,direct,optimal,12.203106164932251,188.55805665912166,
107,200,3,decomp,optimal,3.4561805725097656,188.55805665912166,
108,200,4,direct,optimal,15.137513637542725,149.25463761332364,
109,200,4,decomp,optimal,3.3875949382781982,149.25463761332364,
110,200,5,direct,suboptimal,11.229676246643066,125.56248482127602,
111,200,5,decomp,optimal,3.756791114807129,125.56248482127585,
112,200,6,direct,optimal,13.44251537322998,134.89206603672156,
113,200,6,decomp,optimal,3.771601438522339,134.89206603672153,
114,200,7,direct,optimal,10.406033754348755,82.26650159893883,
115,200,7,decomp,optimal,3.9296391010284424,82.26650159893883,
116,200,8,direct,optimal,13.751691818237305,107.20353742775617,
117,200,8,decomp,optimal,3.314371347427368,107.20353742775612,
118,200,9,direct,optimal,11.784761905670166,101.35331408238747,
119,200,9,decomp,optimal,3.2735307216644287,101.35331408238748,
